Zipcode,Investment,forecast_3_years,rate_3,3_year_min,3_year_max,forecast_5_years,rate_5,5_year_min,5_year_max
75205.0,1268600.0,1474363.3151861054,0.16,1268107.9564306405,1680618.6739415703,1613616.4606721976,0.27,1225352.9843172063,2001879.937027189
75225.0,1178700.0,1304511.7652788619,0.11,1106758.747044229,1502264.7835134948,1391022.6260860173,0.18,1006378.4015772665,1775666.8505947683
78703.0,885300.0,1042562.05919911,0.18,854520.6478348139,1230603.4705634061,1139894.4412571397,0.29,799490.9569497588,1480297.9255645205
